["e626e85851a73d7ea936d9e3264e193f","2019-08-04 08:07:30"]
["2649605b8cfad53544c7961f5e65bab3","2019-08-04 08:09:17"]
["8b851fb1db816d8e3d1669c610ec20b6","2019-08-04 08:11:05"]
["b6f9f664b3b434c0e2be8f132bd9ed4d","2019-08-04 08:11:06"]
["4a00d6e41315b87661ad6c5d60fbcfec","2019-08-04 08:11:07"]
["7d617b76e5e4deb1b0153a242674be71","2019-08-04 08:11:42"]
["f94fb25c181c24ac4dd4f8e1bcacfa44","2019-08-04 08:11:55"]
["f41fa386c3694d074c5f2a83f1eec799","2019-08-04 08:12:15"]
["eb41c80b55acfb64b4283116dc613d70","2019-08-04 08:13:51"]
["600f64c6ade85ad4bc7d8ae1b71e2419","2019-08-04 08:16:42"]
["9f66f39dae49d1da53268c0342be91eb","2019-08-04 08:17:58"]
["9f66f39dae49d1da53268c0342be91eb","2019-08-04 08:17:58"]
["d4db5bc35cfef78118773bb0c568b883","2019-08-04 08:18:06"]
["01a0266045ee98ea5eaab9837b9b0384","2019-08-04 08:19:02"]
["81b836f14b81733425b5ed811e000576","2019-08-04 08:19:04"]
["81b836f14b81733425b5ed811e000576","2019-08-04 08:19:04"]
["2b53bd5441d3cd9f4adb9cea1a5e5bb6","2019-08-04 08:21:42"]
["40ffd34055c8417157fbcb48a5d3d110","2019-08-04 08:22:37"]
["d9333b326f9d64832cba8ae99c46f076","2019-08-04 08:26:43"]
["a4ff7d3143f150c1b58ac315038f54bd","2019-08-04 08:31:43"]
["d1ed725bbffcf3c1df3adc4680384e11","2019-08-04 08:33:11"]
["8d477da064dff7c0da81a43837b6d30c","2019-08-04 08:33:13"]
["dfcdc486c7635ce45d55848800b7d471","2019-08-04 08:36:43"]
["a003043d31a3004bfae868ffbd0387d1","2019-08-04 08:38:07"]
["7715f29973066f6fd0cce18d7e0c5f59","2019-08-04 08:38:29"]
["7715f29973066f6fd0cce18d7e0c5f59","2019-08-04 08:38:29"]
["1eec39570ebedb295a62ce2853a71b50","2019-08-04 08:40:40"]
["1eec39570ebedb295a62ce2853a71b50","2019-08-04 08:40:47"]
["71dadc8b695b972c5dc99d7cb60afec1","2019-08-04 08:40:50"]
["9626903e1336e375da92765ba991fcbf","2019-08-04 08:40:50"]
["67c75417ce7ca7a5e609f348e7381635","2019-08-04 08:40:51"]
["97ffc2a375a2c24b2747258501e8942b","2019-08-04 08:41:00"]
["18a9742700f887cacf6ca7ffd9cb6339","2019-08-04 08:41:00"]
["72a04d26a27335af83b4bb0552ba3f95","2019-08-04 08:41:01"]
["58ee9c97b9f5d152653ecf4ef2c74f83","2019-08-04 08:41:14"]
["64e4caa866f1545850b3f1ad783f11c8","2019-08-04 08:41:16"]
["7905c6589a65d552624141d9c1ac0a4e","2019-08-04 08:41:17"]
["54c0ca7f8777706203f888a2faf6ee04","2019-08-04 08:41:18"]
["87da7c046008dfd35184efe87f183920","2019-08-04 08:41:19"]
["58ee9c97b9f5d152653ecf4ef2c74f83","2019-08-04 08:41:20"]
["64e4caa866f1545850b3f1ad783f11c8","2019-08-04 08:41:25"]
["23e59396e85682541fdfd4e71e344961","2019-08-04 08:41:37"]
["9f3380e379a45c304d14b60a767d975d","2019-08-04 08:41:37"]
["0889b3105ce25767dac357c741d0df70","2019-08-04 08:41:38"]
["e445a9fdd0ecd1f85d35a9ea745173fb","2019-08-04 08:41:43"]
["c47504bdc90daf5ccccd97808954193c","2019-08-04 08:42:02"]
["91ba5eec83f71790fb439c53dfff1f65","2019-08-04 08:42:02"]
["f0682d101b93b5f5610d12a96ece3e0a","2019-08-04 08:42:03"]
["2a5ce8b72c544c08bc78841c9379c764","2019-08-04 08:42:03"]
["fd3dbed6572bea4e6fe635660ac151ba","2019-08-04 08:42:04"]
["8dc89d11610ae667db2f892b0c3dad5f","2019-08-04 08:42:18"]
["5d462e58738548c4a83fd1f2ae37db7e","2019-08-04 08:42:23"]
["af20cb9b07150fff1993596ce3591c2b","2019-08-04 08:42:33"]
["cef1c1434a931ca816031ba45ce45f9d","2019-08-04 08:42:36"]
["33908b986030d9d94c3f36dbf369452f","2019-08-04 08:42:47"]
["85bb798acbf64f4707e4a8cbe5646955","2019-08-04 08:42:58"]
["b40724479ec549af6ae3f7aa12fe2694","2019-08-04 08:43:06"]
["d3efed5f4f563fa9e3623f93b0d19e14","2019-08-04 08:43:10"]
["374d06138f6d6ab360536aed42fa875f","2019-08-04 08:43:14"]
["c62cd0621c821b1732fbcd64108f11f7","2019-08-04 08:43:14"]
["f163e896a909ff2d2240c27e7debaadc","2019-08-04 08:43:14"]
["707b206464f9113392a78e04ac8217cb","2019-08-04 08:46:44"]
["bf53a6613d78fa00da460aeee8c06107","2019-08-04 08:51:44"]
["ed67f486222c11f07991a1ce96096181","2019-08-04 08:56:44"]
["1c9f83565e5c299a61ed83d6f06a1256","2019-08-04 09:00:36"]
["6183ead29e63bba4c4726f9988d72c28","2019-08-04 09:00:39"]
["580f83fbf6b3ce9254eb6667001fb232","2019-08-04 09:01:44"]
["20e2d1cf8335f6884cda43b5f600ea1b","2019-08-04 09:06:45"]
["c376ef1aa90da819e548c37342036e30","2019-08-04 09:11:45"]
["1c6d07337a7c3a2a460ac7441f3b0d7e","2019-08-04 09:12:46"]
["2e3706250b0169b237e822fa700e1f50","2019-08-04 09:14:42"]
["2e3706250b0169b237e822fa700e1f50","2019-08-04 09:14:45"]
["1df6f4ed535dcbbb822568cda76d69da","2019-08-04 09:16:45"]
["56a3c7b120d89ce6bfacd0ac310b2321","2019-08-04 09:20:15"]
["c74f2b6a8d93fed4bed0951c92cdb6f2","2019-08-04 09:21:45"]
["37b91b0b113ef015d685a07625abc27f","2019-08-04 09:24:20"]
["37b91b0b113ef015d685a07625abc27f","2019-08-04 09:24:21"]
["776b0ea0ce95ac3ec8a1d0eccd2337cb","2019-08-04 09:25:01"]
["016e28e6d72e6f725fc18aa02df973aa","2019-08-04 09:26:46"]
["5ccafd5fac0cc7980ca58e3ace1af1ea","2019-08-04 09:26:49"]
["7fe0d1c21b203b6d2a9e89775239ad80","2019-08-04 09:26:49"]
["304400261e85d1e08ad996bcfd8cabd8","2019-08-04 09:26:50"]
["bcf7179c4e651d6b51a53819daa5a9fd","2019-08-04 09:26:56"]
["a1b2fd5bfe3f11dd8b0b976ef9aa720d","2019-08-04 09:28:27"]
["e0e2e65d60bcb9763f753c77690d996b","2019-08-04 09:31:46"]
["762570dc2fc18b2114f6e1b92317ad1a","2019-08-04 09:36:46"]
["eba304ee179e1dfca521d5b9d2512884","2019-08-04 09:41:46"]
["b8607eb7c435cb0c937b873f48c77581","2019-08-04 09:42:29"]
["07cffed806a318c89406b0cbf12c0354","2019-08-04 09:42:31"]
["5ffbfe5c308e3d51b9f5706bbd446b3a","2019-08-04 09:46:47"]
["cc0fc87dd6fd340724758b05bcd304d7","2019-08-04 09:47:49"]
